"doi","nm","all_names","title","journal","year"
"10.1074/jbc.m112.393157","Willander","Hanna Willander, Jenny Presto, Glareh Askarieh, Henrik Biverstål, Birgitta Frohm, Stefan D. Knight, Jan Johansson, Sara Linse","BRICHOS Domains Efficiently Delay Fibrillation of Amyloid β-Peptide","Journal of Biological Chemistry",2012
"10.1371/journal.pone.0032953","Zhang","Ce Zhang, Yonggang Liu, Jonathan Gilthorpe, Johan R. C. van der Maarel","MRP14 (S100A9) Protein Interacts with Alzheimer Beta-Amyloid Peptide and Induces Its Fibrillization","PLoS ONE",2012
"10.1016/j.jmb.2010.09.052","Sabaté","Raimon Sabaté, Alba Espargaró, Natalia S. de Groot, Juan José Valle-Delgado, Xavier Fernàndez-Busquets, Salvador Ventura","The Role of Protein Sequence and Amino Acid Composition in Amyloid Formation: Scrambling and Backward Reading of IAPP Amyloid Fibrils","Journal of Molecular Biology",2010
"10.1038/nchem.1293","Middleton","Chris T. Middleton, Peter Marek, Ping Cao, Chi-cheng Chiu, Sadanand Singh, Ann Marie Woys, Juan J. de Pablo, Daniel P. Raleigh, Martin T. Zanni","Two-dimensional infrared spectroscopy reveals the complex behaviour of an amyloid fibril inhibitor","Nature Chemistry",2012
"10.1016/j.bbapap.2015.04.005","Biverstål","Henrik Biverstål, Lisa Dolfe, Erik Hermansson, Axel Leppert, Mara Reifenrath, Bengt Winblad, Jenny Presto, Jan Johansson","Dissociation of a BRICHOS trimer into monomers leads to increased inhibitory effect on Aβ42 fibril formation","Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics",2015
"10.1021/jacs.8b05925","Ilitchev","Alexandre I. Ilitchev, Maxwell J. Giammona, Carina Olivas, Sarah L. Claud, Kristi L. Lazar Cantrell, Chun Wu, Steven K. Buratto, Michael T. Bowers","Hetero-oligomeric Amyloid Assembly and Mechanism: Prion Fragment PrP(106–126) Catalyzes the Islet Amyloid Polypeptide β-Hairpin","Journal of the American Chemical Society",2018
"10.1111/j.1471-4159.2012.07847.x","Ono","Kenjiro Ono, Ryoichi Takahashi, Tokuhei Ikeda, Masahito Yamada","Cross-seeding effects of amyloid β-protein and α-synuclein","Journal of Neurochemistry",2012
"10.1016/j.clinbiochem.2005.08.007","Giunta","S. Giunta, M.B. Valli, R. Galeazzi, P. Fattoretti, E.H. Corder, L. Galeazzi","Transthyretin inhibition of amyloid beta aggregation and toxicity","Clinical Biochemistry",2005
"10.1021/cn500019c","Nieznanski","Krzysztof Nieznanski, Krystyna Surewicz, Shugui Chen, Hanna Nieznanska, Witold K. Surewicz","Interaction between Prion Protein and Aβ Amyloid Fibrils Revisited","ACS Chemical Neuroscience",2014
"10.1523/jneurosci.4849-06.2007","Kim","J. Kim, L. Onstead, S. Randle, R. Price, L. Smithson, C. Zwizinski, D. W. Dickson, T. Golde, E. McGowan","A 40 Inhibits Amyloid Deposition In Vivo","Journal of Neuroscience",2007
"10.1038/s41598-018-23850-0","Werner","Tony Werner, Ranjeet Kumar, Istvan Horvath, Nathalie Scheers, Pernilla Wittung-Stafshede","Abundant fish protein inhibits α-synuclein amyloid formation","Scientific Reports",2018
"10.1016/j.jmb.2021.166953","Dhakal","Shailendra Dhakal, Courtney E. Wyant, Hannah E. George, Sarah E. Morgan, Vijayaraghavan Rangachari","Prion-like C-Terminal Domain of TDP-43 and α-Synuclein Interact Synergistically to Generate Neurotoxic Hybrid Fibrils","Journal of Molecular Biology",2021
"10.1021/acs.biochem.9b00215","Dasari","Anvesh K. R. Dasari, Rakez Kayed, Sungsool Wi, Kwang Hun Lim","Tau Interacts with the C-Terminal Region of α-Synuclein, Promoting Formation of Toxic Aggregates with Distinct Molecular Conformations","Biochemistry",2019
"10.7554/elife.59776","Zaman","Masihuz Zaman, Maria Andreasen","Cross-talk between individual phenol-soluble modulins in Staphylococcus aureus biofilm enables rapid and efficient amyloid formation","eLife",2020
"10.1007/978-1-4939-7816-8_6","Horvath","Istvan Horvath, Sandra Rocha, Pernilla Wittung-Stafshede","In Vitro Analysis of α-Synuclein Amyloid Formation and Cross-Reactivity","Methods in Molecular Biology,Amyloid Proteins",2018
"10.1073/pnas.2009702117","Dean","Dexter N. Dean, Jennifer C. Lee","Defining an amyloid link Between Parkinson’s disease and melanoma","Proceedings of the National Academy of Sciences",2020
"10.1074/jbc.m117.786558","Perlenfein","Tyler J. Perlenfein, Jacob D. Mehlhoff, Regina M. Murphy","Insights into the mechanism of cystatin C oligomer and amyloid formation and its interaction with β-amyloid","Journal of Biological Chemistry",2017
"10.1039/c3ra43665a","Zhao","Li Na Zhao, Tong Zhang, Ce Zhang, Chao Wang, Ludmilla A. Morozova-Roche, Lock Yue Chew, Yuguang Mu","S100A9 induces aggregation-prone conformation in Abeta peptides: a combined experimental and simulation study","RSC Advances",2013
"10.1021/acschemneuro.7b00396","Ge","Xinwei Ge, Ye Yang, Yunxiang Sun, Weiguo Cao, Feng Ding","Islet Amyloid Polypeptide Promotes Amyloid-Beta Aggregation by Binding-Induced Helix-Unfolding of the Amyloidogenic Core","ACS Chemical Neuroscience",2018
"10.1074/jbc.m803159200","Jan","Asad Jan, Ozgun Gokce, Ruth Luthi-Carter, Hilal A. Lashuel","The Ratio of Monomeric to Aggregated Forms of Aβ40 and Aβ42 Is an Important Determinant of Amyloid-β Aggregation, Fibrillogenesis, and Toxicity","Journal of Biological Chemistry",2008
"10.1007/s00401-013-1208-4","Wang","Chao Wang, Alexey G. Klechikov, Anna L. Gharibyan, Sebastian K. T. S. Wärmländer, Jüri Jarvet, Lina Zhao, Xueen Jia, S. K. Shankar, Anders Olofsson, Thomas Brännström, Yuguang Mu, Astrid Gräslund, Ludmilla A. Morozova-Roche","The role of pro-inflammatory S100A9 in Alzheimer’s disease amyloid-neuroinflammatory cascade","Acta Neuropathologica",2013
"10.1002/jms.4643","Pang","Bo Pang, Xiaoyu Zhuang, Xinyu Bian, Shu Liu, Zhiqiang Liu, Fengrui Song","Studies on the cross-interaction between hIAPP and Aβ<sub>25-35</sub>  and the aggregation process in binary mixture by electrospray ionization-ion mobility-mass spectrometry","Journal of Mass Spectrometry",2020
"10.1073/pnas.211412398","Masliah","Eliezer Masliah, Edward Rockenstein, Isaac Veinbergs, Yutaka Sagara, Margaret Mallory, Makoto Hashimoto, Lennart Mucke","β-Amyloid peptides enhance α-synuclein accumulation and neuronal deficits in a transgenic mouse model linking Alzheimer's disease and Parkinson's disease","Proceedings of the National Academy of Sciences",2001
"10.1074/jbc.m609269200","Vitrenko","Yakov A. Vitrenko, Elena O. Gracheva, Janet E. Richmond, Susan W. Liebman","Visualization of Aggregation of the Rnq1 Prion Domain and Cross-seeding Interactions with Sup35NM","Journal of Biological Chemistry",2007
"10.1073/pnas.1700239114","Chia","Sean Chia, Patrick Flagmeier, Johnny Habchi, Veronica Lattanzi, Sara Linse, Christopher M. Dobson, Tuomas P. J. Knowles, Michele Vendruscolo","Monomeric and fibrillar α-synuclein exert opposite effects on the catalytic cycle that promotes the proliferation of Aβ42 aggregates","Proceedings of the National Academy of Sciences",2017
"10.1074/jbc.m117.806109","Krotee","Pascal Krotee, Sarah L. Griner, Michael R. Sawaya, Duilio Cascio, Jose A. Rodriguez, Dan Shi, Stephan Philipp, Kevin Murray, Lorena Saelices, Ji Lee, Paul Seidler, Charles G. Glabe, Lin Jiang, Tamir Gonen, David S. Eisenberg","Common fibrillar spines of amyloid-β and human islet amyloid polypeptide revealed by microelectron diffraction and structure-based inhibitors","Journal of Biological Chemistry",2018
"10.1126/science.1082324","Giasson","Benoit I. Giasson, Mark S. Forman, Makoto Higuchi, Lawrence I. Golbe, Charles L. Graves, Paul T. Kotzbauer, John Q. Trojanowski, Virginia M.-Y. Lee","Initiation and Synergistic Fibrillization of Tau and Alpha-Synuclein","Science",2003
"10.1039/c6sc04797a","Dammers","C. Dammers, M. Schwarten, A. K. Buell, D. Willbold","Pyroglutamate-modified Aβ(3-42) affects aggregation kinetics of Aβ(1-42) by accelerating primary and secondary pathways","Chemical Science",2017
"10.1016/j.bbrc.2019.10.120","Shirasaka","Maki Shirasaka, Kazuo Kuwata, Ryo Honda","α-Synuclein chaperone suppresses nucleation and amyloidogenesis of prion protein","Biochemical and Biophysical Research Communications",2020
"10.1021/acs.biochem.7b00739","Sivanesam","Kalkena Sivanesam, Niels H. Andersen","Inhibition of Human Amylin Amyloidogenesis by Human Amylin-Fragment Peptides: Exploring the Effects of Serine Residues and Oligomerization upon Inhibitory Potency","Biochemistry",2017
"10.1021/ja8092604","Murray","Megan M. Murray, Summer L. Bernstein, Vy Nyugen, Margaret M. Condron, David B. Teplow, Michael T. Bowers","Amyloid β Protein: Aβ40 Inhibits Aβ42 Oligomerization","Journal of the American Chemical Society",2009
"10.1016/j.colsurfb.2016.10.011","Haratake","Mamoru Haratake, Tohru Takiguchi, Naho Masuda, Sakura Yoshida, Takeshi Fuchigami, Morio Nakayama","Amyloid formation characteristics of GNNQQNY from yeast prion protein Sup35 and its seeding with heterogeneous polypeptides","Colloids and Surfaces B: Biointerfaces",2017
"10.1002/smll.201603591","Raynes","Jared K. Raynes, Li Day, Pauline Crepin, Mathew H. Horrocks, John A. Carver","Coaggregation of κ-Casein and β-Lactoglobulin Produces Morphologically Distinct Amyloid Fibrils","Small",2017
"10.1021/jacs.5b07849","Szczepankiewicz","Olga Szczepankiewicz, Björn Linse, Georg Meisl, Eva Thulin, Birgitta Frohm, Carlo Sala Frigerio, Michael T. Colvin, Angela C. Jacavone, Robert G. Griffin, Tuomas Knowles, Dominic M. Walsh, Sara Linse","N-Terminal Extensions Retard Aβ42 Fibril Formation but Allow Cross-Seeding and Coaggregation with Aβ42","Journal of the American Chemical Society",2015
"10.3390/ijms21197410","Sneideris","Tomas Sneideris, Mantas Ziaunys, Brett K.-Y. Chu, Rita P.-Y. Chen, Vytautas Smirnovas","Self-Replication of Prion Protein Fragment 89-230 Amyloid Fibrils Accelerated by Prion Protein Fragment 107-143 Aggregates","International Journal of Molecular Sciences",2020
"10.1073/pnas.0404968101","Derkatch","Irina L. Derkatch, Susan M. Uptain, Tiago F. Outeiro, Rajaraman Krishnan, Susan L. Lindquist, Susan W. Liebman","Effects of Q/N-rich, polyQ, and non-polyQ amyloids on the             <i>de novo</i>             formation of the [             <i>PSI</i>             <sup>+</sup>             ] prion in yeast and aggregation of Sup35             <i>in vitro</i>","Proceedings of the National Academy of Sciences",2004
"10.1016/j.jmb.2018.01.008","Bode","David C. Bode, Helen F. Stanyon, Trisha Hirani, Mark D. Baker, Jon Nield, John H. Viles","Serum Albumin's Protective Inhibition of Amyloid-β Fiber Formation Is Suppressed by Cholesterol, Fatty Acids and Warfarin","Journal of Molecular Biology",2018
"10.1111/febs.12813","Chang","Yu-Jen Chang, Yun-Ru Chen","The coexistence of an equal amount of Alzheimer's amyloid-β 40 and 42 forms structurally stable and toxic oligomers through a distinct pathway","FEBS Journal",2014
"10.1016/j.bpj.2019.05.013","Hsu","Yi-Hsuan Hsu, Yun-Wen Chen, Meng-Hsin Wu, Ling-Hsien Tu","Protein Glycation by Glyoxal Promotes Amyloid Formation by Islet Amyloid Polypeptide","Biophysical Journal",2019
"10.1021/bi101280t","Du","Jiali Du, Regina M. Murphy","Characterization of the Interaction of β-Amyloid with Transthyretin Monomers and Tetramers","Biochemistry",2010
"10.1002/anie.200604056","Yan","Li-Mei Yan, Aleksandra Velkova, Marianna Tatarek-Nossol, Erika Andreetto, Aphrodite Kapurniotu","IAPP Mimic Blocks Aβ Cytotoxic Self-Assembly: Cross-Suppression of Amyloid Toxicity of Aβ and IAPP Suggests a Molecular Link between Alzheimer's Disease and Type II Diabetes","Angewandte Chemie International Edition",2007
"10.1021/acschemneuro.5b00192","Hu","Rundong Hu, Mingzhen Zhang, Hong Chen, Binbo Jiang, Jie Zheng","Cross-Seeding Interaction between β-Amyloid and Human Islet Amyloid Polypeptide","ACS Chemical Neuroscience",2015
"10.1042/bcj20180247","Oren","Ofek Oren, Victor Banerjee, Ran Taube, Niv Papo","An Aβ42 variant that inhibits intra- and extracellular amyloid aggregation and enhances cell viability","Biochemical Journal",2018
"10.1021/jacs.7b13660","Yoo","Brian K. Yoo, Yiling Xiao, Dan McElheny, Yoshitaka Ishii","E22G Pathogenic Mutation of β-Amyloid (Aβ) Enhances Misfolding of Aβ40 by Unexpected Prion-like Cross Talk between Aβ42 and Aβ40","Journal of the American Chemical Society",2018
"10.1110/ps.04707004","Krebs","Mark R.H. Krebs, Ludmilla A. Morozova-Roche, Katie Daniel, Carol V. Robinson, Christopher M. Dobson","Observation of sequence specificity in the seeding of protein amyloid fibrils","Protein Science",2004
"10.1074/jbc.ra118.005603","Sorrentino","Zachary A. Sorrentino, Niran Vijayaraghavan, Kimberly-Marie Gorion, Cara J. Riffe, Kevin H. Strang, Jason Caldwell, Benoit I. Giasson","Physiological C-terminal truncation of α-synuclein potentiates the prion-like formation of pathological inclusions","Journal of Biological Chemistry",2018
"10.1111/j.1365-2443.2011.01510.x","Inoue","Yuji Inoue, Shigeko Kawai-Noma, Ayumi Koike-Takeshita, Hideki Taguchi, Masasuke Yoshida","Yeast prion protein New1 can break Sup35 amyloid fibrils into fragments in an ATP-dependent manner","Genes to Cells",2011
"10.1021/acschemneuro.9b00516","Arya","Shruti Arya, Sarah L. Claud, Kristi Lazar Cantrell, Michael T. Bowers","Catalytic Prion-Like Cross-Talk between a Key Alzheimer’s Disease Tau-Fragment R3 and the Type 2 Diabetes Peptide IAPP","ACS Chemical Neuroscience",2019
"10.1186/s12974-018-1210-9","Horvath","Istvan Horvath, Igor A. Iashchishyn, Roman A. Moskalenko, Chao Wang, Sebastian K. T. S. Wärmländer, Cecilia Wallin, Astrid Gräslund, Gabor G. Kovacs, Ludmilla A. Morozova-Roche","Co-aggregation of pro-inflammatory S100A9 with α-synuclein in Parkinson’s disease: ex vivo and in vitro studies","Journal of Neuroinflammation",2018
"10.1074/jbc.m508623200","Yagi","Hisashi Yagi, Eiko Kusaka, Kunihiro Hongo, Tomohiro Mizobata, Yasushi Kawata","Amyloid Fibril Formation of α-Synuclein Is Accelerated by Preformed Amyloid Seeds of Other Proteins","Journal of Biological Chemistry",2005
"10.1074/jbc.m116.736355","Oikawa","Takayuki Oikawa, Takashi Nonaka, Makoto Terada, Akira Tamaoka, Shin-ichi Hisanaga, Masato Hasegawa","α-Synuclein Fibrils Exhibit Gain of Toxic Function, Promoting Tau Aggregation and Inhibiting Microtubule Assembly","Journal of Biological Chemistry",2016
"10.1016/j.jmb.2015.06.008","Chemuru","Saketh Chemuru, Ravindra Kodali, Ronald Wetzel","C-Terminal Threonine Reduces Aβ43 Amyloidogenicity Compared with Aβ42","Journal of Molecular Biology",2016
"10.1074/jbc.m807482200","Yonetani","Motokuni Yonetani, Takashi Nonaka, Masami Masuda, Yuki Inukai, Takayuki Oikawa, Shin-ichi Hisanaga, Masato Hasegawa","Conversion of Wild-type α-Synuclein into Mutant-type Fibrils and Its Propagation in the Presence of A30P Mutant","Journal of Biological Chemistry",2009
"10.1016/j.peptides.2009.01.027","Sanders","Hiromi M. Sanders, Robert Lust, Jan K. Teller","Amyloid-beta peptide Aβp3-42 affects early aggregation of full-length Aβ1-42","Peptides",2009
"10.1073/pnas.0507471103","Yan","Li-Mei Yan, Marianna Tatarek-Nossol, Aleksandra Velkova, Athanasios Kazantzis, Aphrodite Kapurniotu","Design of a mimic of nonamyloidogenic and bioactive human islet amyloid polypeptide (IAPP) as nanomolar affinity inhibitor of IAPP cytotoxic fibrillogenesis","Proceedings of the National Academy of Sciences",2006
"10.1002/pro.3396","Garai","Kanchan Garai, Ammon E. Posey, Xinyi Li, Joel N. Buxbaum, Rohit V. Pappu","Inhibition of amyloid beta fibril formation by monomeric human transthyretin","Protein Science",2018
"10.1002/cbic.201100192","Andreetto","Erika Andreetto, Li-Mei Yan, Andrea Caporale, Aphrodite Kapurniotu","Dissecting the Role of Single Regions of an IAPP Mimic and IAPP in Inhibition of Aβ40 Amyloid Formation and Cytotoxicity","ChemBioChem",2011
"10.1073/pnas.1715951115","Oskarsson","Marie E. Oskarsson, Erik Hermansson, Ye Wang, Nils Welsh, Jenny Presto, Jan Johansson, Gunilla T. Westermark","BRICHOS domain of Bri2 inhibits islet amyloid polypeptide (IAPP) fibril formation and toxicity in human beta cells","Proceedings of the National Academy of Sciences",2018
"10.1111/jnc.12202","Gu","Lei Gu, Zhefeng Guo","Alzheimer's Aβ42 and Aβ40 peptides form interlaced amyloid fibrils","Journal of Neurochemistry",2013
"10.1016/j.jmb.2018.04.020","Bhasne","Karishma Bhasne, Sanjana Sebastian, Neha Jain, Samrat Mukhopadhyay","Synergistic Amyloid Switch Triggered by Early Heterotypic Oligomerization of Intrinsically Disordered α-Synuclein and Tau","Journal of Molecular Biology",2018
"10.1021/acs.jmedchem.9b01970","Cotrina","Ellen Y. Cotrina, Ana Gimeno, Jordi Llop, Jesús Jiménez-Barbero, Jordi Quintana, Gregorio Valencia, Isabel Cardoso, Rafel Prohens, Gemma Arsequell","Calorimetric Studies of Binary and Ternary Molecular Interactions between Transthyretin, Aβ Peptides, and Small-Molecule Chaperones toward an Alternative Strategy for Alzheimer’s Disease Drug Discovery","Journal of Medicinal Chemistry",2020
"10.1523/jneurosci.2561-13.2013","Li","X. Li, X. Zhang, A. R. A. Ladiwala, D. Du, J. K. Yadav, P. M. Tessier, P. E. Wright, J. W. Kelly, J. N. Buxbaum","Mechanisms of Transthyretin Inhibition of  -Amyloid Aggregation In Vitro","Journal of Neuroscience",2013
"10.1039/c9sc05905a","Pansieri","Jonathan Pansieri, Igor A. Iashchishyn, Hussein Fakhouri, Lucija Ostojić, Mantas Malisauskas, Greta Musteikyte, Vytautas Smirnovas, Matthias M. Schneider, Tom Scheidt, Catherine K. Xu, Georg Meisl, Tuomas P. J. Knowles, Ehud Gazit, Rodolphe Antoine, Ludmilla A. Morozova-Roche","Templating S100A9 amyloids on Aβ fibrillar surfaces revealed by charge detection mass spectrometry, microscopy, kinetic and microfluidic analyses","Chemical Science",2020
"10.1021/acschemneuro.8b00676","Weiffert","Tanja Weiffert, Georg Meisl, Patrick Flagmeier, Suman De, Christopher J. R. Dunning, Birgitta Frohm, Henrik Zetterberg, Kaj Blennow, Erik Portelius, David Klenerman, Christopher M. Dobson, Tuomas P. J. Knowles, Sara Linse","Increased Secondary Nucleation Underlies Accelerated Aggregation of the Four-Residue N-Terminally Truncated Aβ42 Species Aβ5–42","ACS Chemical Neuroscience",2019
"10.1111/j.1742-4658.2007.06144.x","Rekas","Agata Rekas, Lucy Jankova, David C. Thorn, Roberto Cappai, John A. Carver","Monitoring the prevention of amyloid fibril formation by α-crystallin","FEBS Journal",2007
"10.1074/jbc.ra118.001862","Terada","Makoto Terada, Genjiro Suzuki, Takashi Nonaka, Fuyuki Kametani, Akira Tamaoka, Masato Hasegawa","The effect of truncation on prion-like properties of α-synuclein","Journal of Biological Chemistry",2018
"10.1074/jbc.ra118.003319","Younan","Nadine D. Younan, Ko-Fan Chen, Ruth-Sarah Rose, Damian C. Crowther, John H. Viles","Prion protein stabilizes amyloid-β (Aβ) oligomers and enhances Aβ neurotoxicity in a Drosophila model of Alzheimer's disease","Journal of Biological Chemistry",2018
"10.1093/jb/mvaa101","Mohammadi","Fatemeh Mohammadi, Zeinab Takalloo, Hossein Rahmani, Mohammad Ali Nasiri Khalili, Khosro Khajeh, Gholamhossein Riazi, Reza H. Sajedi","Interplay of isoform 1N4R tau protein and amyloid-β peptide fragment 25–35 in reducing and non-reducing conditions","The Journal of Biochemistry",2020
"10.1155/2008/429274","Westermark","Gunilla T. Westermark, Per Westermark","Transthyretin and Amyloid in the Islets of Langerhans in Type-2 Diabetes","Experimental Diabetes Research",2008
"10.1016/j.jmb.2018.05.001","Brännström","Kristoffer Brännström, Tohidul Islam, Anna L. Gharibyan, Irina Iakovleva, Lina Nilsson, Cheng Choo Lee, Linda Sandblad, Annelie Pamrén, Anders Olofsson","The Properties of Amyloid-β Fibrils Are Determined by their Path of Formation","Journal of Molecular Biology",2018
"10.1017/s0033583516000172","Gaspar","Ricardo Gaspar, Georg Meisl, Alexander K. Buell, Laurence Young, Clemens F. Kaminski, Tuomas P. J. Knowles, Emma Sparr, Sara Linse","Secondary nucleation of monomers on fibril surface dominates<i>α</i>-synuclein aggregation and provides autocatalytic amyloid amplification","Quarterly Reviews of Biophysics",2017
"10.7554/elife.46924","Griner","Sarah L Griner, Paul Seidler, Jeannette Bowler, Kevin A Murray, Tianxiao Peter Yang, Shruti Sahay, Michael R Sawaya, Duilio Cascio, Jose A Rodriguez, Stephan Philipp, Justyna Sosna, Charles G Glabe, Tamir Gonen, David S Eisenberg","Structure-based inhibitors of amyloid beta core suggest a common interface with tau","eLife",2019
"10.3109/13506129.2011.630761","Larsson","Annika Larsson, Susanna Malmström, Per Westermark","Signs of cross-seeding: aortic medin amyloid as a trigger for protein AA deposition","Amyloid",2011
"10.3390/biom11030411","Wasana Jayaweera","Sanduni Wasana Jayaweera, Solmaz Surano, Nina Pettersson, Elvira Oskarsson, Lovisa Lettius, Anna Gharibyan, Intissar Anan, Anders Olofsson","Mechanisms of Transthyretin Inhibition of IAPP Amyloid Formation","Biomolecules",2021
"10.1002/advs.202001299","Javed","Ibrahim Javed, Zhenzhen Zhang, Jozef Adamcik, Nicholas Andrikopoulos, Yuhuan Li, Daniel E. Otzen, Sijie Lin, Raffaele Mezzenga, Thomas P. Davis, Feng Ding, Pu Chun Ke","Accelerated Amyloid Beta Pathogenesis by Bacterial Amyloid FapC","Advanced Science",2020
"10.1039/d0tb02958k","Zhang","Yanxian Zhang, Mingzhen Zhang, Yonglan Liu, Dong Zhang, Yijing Tang, Baiping Ren, Jie Zheng","Dual amyloid cross-seeding reveals steric zipper-facilitated fibrillization and pathological links between protein misfolding diseases","Journal of Materials Chemistry B",2021
"10.1523/jneurosci.0297-11.2011","Waxman","E. A. Waxman, B. I. Giasson","Induction of Intracellular Tau Aggregation Is Promoted by  -Synuclein Seeds and Provides Novel Insights into the Hyperphosphorylation of Tau","Journal of Neuroscience",2011
"10.1021/bi501333q","Dubey","Kriti Dubey, Bibin G. Anand, Mayur K. Temgire, Karunakar Kar","Evidence of Rapid Coaggregation of Globular Proteins during Amyloid Formation","Biochemistry",2014
"10.1016/j.febslet.2013.02.008","Yamaguchi","Takahiro Yamaguchi, Katsumi Matsuzaki, Masaru Hoshino","Interaction between soluble Aβ-(1-40) monomer and Aβ-(1-42) fibrils probed by paramagnetic relaxation enhancement","FEBS Letters",2013
"10.1016/j.ijms.2018.02.002","Heo","Chae Eun Heo, Tae Su Choi, Hugh I. Kim","Competitive homo- and hetero- self-assembly of amyloid-β 1–42 and 1–40 in the early stage of fibrillation","International Journal of Mass Spectrometry",2018
"10.1039/c7cp08552d","D’Urso","Luisa D’Urso, Marcello Condorelli, Orazio Puglisi, Carmelo Tempra, Fabio Lolicato, Giuseppe Compagnini, Carmelo La Rosa","Detection and characterization at nM concentration of oligomers formed by hIAPP, Aβ(1–40) and their equimolar mixture using SERS and MD simulations","Physical Chemistry Chemical Physics",2018
"10.1039/c3cc42325e","Luo","Jinghui Luo, Sebastian K. T. S. Wärmländer, Astrid Gräslund, Jan Pieter Abrahams","Human lysozyme inhibits the in vitro aggregation of Aβ peptides, which in vivo are associated with Alzheimer's disease","Chemical Communications",2013
"10.1016/j.bpj.2009.08.028","Milojevic","Julijana Milojevic, Annie Raditsis, Giuseppe Melacini","Human Serum Albumin Inhibits Aβ Fibrillization through a “Monomer-Competitor” Mechanism","Biophysical Journal",2009
"10.1007/s12035-018-1202-x","Pagano","Katiuscia Pagano, Denise Galante, Cristina D’Arrigo, Alessandro Corsaro, Mario Nizzari, Tullio Florio, Henriette Molinari, Simona Tomaselli, Laura Ragona","Effects of Prion Protein on Aβ42 and Pyroglutamate-Modified AβpΕ3-42 Oligomerization and Toxicity","Molecular Neurobiology",2018
"10.1021/la500632d","Hu","Rundong Hu, Mingzhen Zhang, Kunal Patel, Qiuming Wang, Yung Chang, Xiong Gong, Ge Zhang, Jie Zheng","Cross-Sequence Interactions between Human and Rat Islet Amyloid Polypeptides","Langmuir",2014
